Product category,Product family,Product
דלתות פנים,דלתות פתיחה רגילים,דלת פתיחה סטנדרט
,,דלת פתיחה פלץ
,,דלת במישור ההלבשה
,,דלת מוסדית
,,"דלת לממ""ד"
,דלתות קו אפס,"דלת עץ, משקוף אלומיניום"
,,"דלת רצפה\תקרה עץ,אלומיניום"
,,"דלת אלומיניום, משקוף אלומיניום"
,,"דלת רצפה\תקרה ,אלומיניום"
,דלתות הזזה,דלת הזזה נגררת על הקיר
,,דלת הזזה נסתרת Absolute
,,דלת הזזה נסתרת Evolution
,,דלת הזזה Space
,,דלת הזזה אסם
,דלתות אקוסטיות,דלת אקוסטית סטנדרט
,,דלת אקוסטית עם חלק תחתון
שונות,,בויידם
,,משקוף מעבר
,,מסגרת עם זיגוג
